,temp,prcp,flood_status,wdsp
0,22.72,80.52,1,10.4
1,25.61,2.58,1,3.4
2,28.61,1.03,1,3.6
3,26.83,5.1,1,1.7
4,26.0,3.68,1,1.9
5,29.94,7.61,1,3.6
6,26.89,4.58,1,2.3
7,25.28,31.48,1,7.2
8,25.72,4.77,1,4.7
9,26.83,0.77,1,3.1
10,24.94,0.52,1,1.5
11,26.56,0.77,1,2.1
12,26.0,1.03,1,3.4
13,27.33,13.74,1,4.0
14,26.11,1.81,1,3.9
15,25.5,0.26,1,4.0
16,26.61,1.29,1,4.0
17,25.44,16.52,1,4.0
18,26.67,4.32,1,3.9
19,25.06,3.81,1,4.9
20,26.22,24.39,1,4.3
21,25.39,12.45,1,3.0
22,26.89,1.03,1,2.0
23,23.94,26.65,1,2.7
24,25.56,5.61,1,4.6
25,26.39,0.52,1,5.2
26,25.78,8.13,1,1.0
27,25.44,0.26,1,2.9
28,26.0,0.13,1,4.2
29,25.33,21.35,1,1.2
30,27.0,1.03,1,2.2
31,26.5,5.87,1,6.5
32,28.17,0.19,1,3.5
33,21.61,0.52,1,1.4
34,21.28,0.13,1,1.0
35,20.89,0.52,1,1.0
36,20.39,1.68,1,0.4
37,21.06,6.9,1,0.7
38,21.17,8.39,1,0.4
39,20.94,1.03,1,0.6
40,25.06,1.55,1,0.7
41,27.17,3.74,1,2.7
42,27.72,1.55,1,5.2
43,27.78,0.19,1,1.8
44,24.89,1.29,1,5.0
45,25.67,5.1,1,4.0
46,26.17,4.06,1,3.2
47,26.06,5.35,1,4.5
48,27.17,0.26,1,3.4
49,26.06,3.03,1,4.2
50,19.56,4.84,1,2.0
51,20.5,10.9,1,0.9
52,20.72,5.29,1,2.0
53,25.0,16.52,1,2.8
54,27.56,2.77,1,2.1
55,26.06,3.55,1,5.4
56,25.56,5.87,1,8.3
57,25.72,8.84,1,1.1
58,25.39,6.32,1,2.5
59,25.83,7.35,1,0.9
60,25.89,5.61,1,2.3
61,24.11,3.55,1,3.3
62,23.83,9.16,1,8.2
63,25.39,0.13,1,6.9
64,26.61,0.06,1,1.7
65,26.39,6.84,1,5.0
66,27.5,0.52,1,3.4
67,27.78,1.81,1,2.1
68,27.11,11.68,1,3.4
69,29.39,1.03,1,3.0
70,28.17,0.26,1,3.3
71,26.28,0.19,1,3.2
72,24.28,3.29,1,3.3
73,24.72,8.65,1,2.0
74,27.28,0.26,1,1.9
75,24.06,2.52,1,2.0
76,24.94,1.03,1,0.6
77,25.72,1.55,1,2.0
78,25.5,6.58,1,2.8
79,26.94,4.58,1,4.7
80,26.78,6.32,1,2.3
81,26.72,0.26,1,3.8
82,27.39,14.97,1,6.2
83,26.78,1.55,1,3.7
84,25.17,4.32,1,1.9
85,23.06,23.35,1,0.9
86,25.94,2.32,1,1.7
87,24.22,2.52,1,1.9
88,24.0,22.84,1,1.1
89,26.72,5.35,1,1.4
90,25.89,0.26,1,2.1
91,25.61,1.16,1,4.6
92,25.28,0.71,1,4.5
93,26.5,7.87,1,2.5
94,26.67,1.03,1,4.3
95,26.17,20.32,1,2.4
96,26.72,1.03,1,1.5
97,27.11,21.61,1,3.6
98,25.94,0.13,1,1.7
99,24.28,3.03,1,5.3
100,25.5,5.87,1,9.5
101,24.44,23.61,1,0.7
102,25.22,10.39,1,3.9
103,26.61,1.03,1,2.7
104,27.28,4.58,1,3.1
105,26.33,1.55,1,0.5
106,26.78,4.65,1,0.6
107,26.33,0.13,1,4.7
108,25.39,2.58,1,3.0
109,26.33,3.29,1,3.0
110,25.56,1.55,1,1.7
111,21.33,11.42,1,1.1
112,25.17,7.35,1,2.0
113,22.28,0.77,1,2.0
114,22.44,0.77,1,3.0
115,23.28,7.35,1,3.9
116,22.39,2.52,1,3.1
117,26.5,1.29,1,1.1
118,25.22,1.29,1,3.4
119,27.5,4.58,1,6.1
120,23.89,22.32,1,2.8
121,25.78,3.03,1,1.5
122,27.94,4.32,1,1.7
123,27.11,0.52,1,0.9
124,26.22,1.03,1,1.6
125,26.28,0.9,1,1.3
126,25.0,9.35,1,1.1
127,24.33,2.26,1,0.5
128,27.0,0.26,1,0.4
129,24.44,4.06,1,2.6
130,27.83,6.06,1,4.2
131,27.11,22.32,1,3.9
132,26.11,11.94,1,1.5
133,27.17,14.0,1,2.7
134,25.5,15.74,1,2.5
135,26.28,1.55,1,2.0
136,26.83,4.32,1,3.6
137,26.78,0.26,1,4.2
138,26.67,0.77,1,5.1
139,27.0,0.26,1,3.1
140,26.56,5.61,1,1.0
141,23.83,0.26,1,4.0
142,24.11,3.55,1,0.5
143,27.0,7.61,1,1.4
144,25.89,1.29,1,2.4
145,27.61,0.52,1,2.5
146,26.78,16.0,1,3.6
147,26.5,3.87,1,2.0
148,25.89,2.52,1,1.3
149,27.28,2.26,1,2.0
150,26.17,3.29,1,3.5
151,27.44,1.81,1,4.0
152,25.67,0.26,1,2.4
153,26.56,2.0,1,3.8
154,26.39,1.29,1,3.9
155,25.11,17.55,1,4.8
156,23.72,7.16,1,2.0
157,27.0,0.52,1,3.6
158,25.61,0.97,1,3.6
159,26.78,0.52,1,4.9
160,27.44,1.29,1,2.8
161,26.89,6.58,1,1.8
162,25.5,0.26,1,4.0
163,24.28,4.06,1,2.1
164,27.39,0.19,1,4.7
165,26.72,0.19,1,5.4
166,24.17,8.13,1,2.3
167,26.78,10.13,1,1.8
168,26.22,12.19,1,2.7
169,27.28,0.26,1,1.2
170,26.94,0.13,1,3.2
171,26.22,1.03,1,3.4
172,25.17,5.68,1,2.9
173,25.94,43.16,1,6.3
174,23.39,39.35,1,2.8
175,24.22,42.19,1,3.5
176,27.0,10.39,1,2.8
177,25.72,35.03,1,6.7
178,26.44,8.39,1,4.1
179,27.11,24.65,1,2.3
180,26.33,41.68,1,3.3
181,19.28,0.52,1,7.0
182,26.5,1.81,1,2.6
183,26.61,34.52,1,8.3
184,27.39,20.58,1,7.8
185,27.17,0.26,1,0.6
186,27.28,3.68,1,1.6
187,25.78,1.81,1,9.0
188,25.39,6.13,1,9.0
189,25.78,1.42,1,2.2
190,27.06,3.03,1,15.6
191,25.11,17.94,1,3.7
192,27.72,2.0,1,22.0
193,25.78,8.65,1,2.3
194,26.17,4.84,1,3.2
195,27.33,9.68,1,15.6
196,27.33,0.52,1,2.8
197,25.61,5.35,1,2.9
198,26.61,0.65,1,2.0
199,26.89,8.65,1,3.6
200,25.78,1.94,1,1.0
201,26.94,2.26,1,0.6
202,27.61,2.52,1,2.0
203,26.78,2.32,1,0.7
204,26.56,2.06,1,1.2
205,26.72,0.13,1,2.8
206,25.89,1.55,1,0.6
207,27.22,6.32,1,7.4
208,26.67,0.19,1,5.5
209,27.17,0.26,1,6.0
210,23.61,30.71,1,1.6
211,26.72,17.29,1,2.6
212,27.78,0.77,1,1.5
213,27.44,0.45,1,2.7
214,26.5,13.48,1,2.5
215,27.67,4.32,1,1.6
216,28.83,1.55,1,2.6
217,27.28,4.58,1,1.2
218,28.11,8.9,1,4.8
219,28.78,0.06,1,3.5
220,26.67,10.52,1,5.1
221,25.17,1.81,1,6.4
222,26.06,9.42,1,7.2
223,25.39,0.26,1,9.0
224,28.83,2.52,1,3.6
225,27.39,0.77,1,3.4
226,25.94,3.03,1,2.0
227,25.39,18.32,1,1.3
228,26.72,0.77,1,8.0
229,25.78,9.68,1,5.4
230,27.39,1.29,1,2.5
231,26.72,2.71,1,3.3
232,25.11,1.1,1,7.6
233,27.78,2.77,1,4.5
234,27.06,1.29,1,1.6
235,27.28,7.61,1,3.4
236,27.28,17.29,1,3.1
237,25.22,7.87,1,1.2
238,26.39,1.42,1,5.7
239,27.67,1.03,1,6.5
240,26.78,8.58,1,6.1
241,27.22,5.61,1,6.3
242,28.06,5.61,1,2.7
243,27.11,4.58,1,7.1
244,26.11,6.9,1,0.5
245,25.61,6.39,1,1.1
246,24.28,13.74,1,2.6
247,23.78,1.81,1,2.1
248,26.5,0.65,1,7.0
249,25.78,3.55,1,3.1
250,22.78,19.55,1,2.3
251,26.22,1.16,1,1.5
252,25.06,9.29,1,1.1
253,25.67,2.0,1,0.8
254,25.89,3.03,1,2.6
255,26.22,2.39,1,0.7
256,26.89,1.55,1,1.4
257,25.78,0.77,1,1.4
258,25.39,5.61,1,0.1
259,24.61,4.32,1,0.6
260,26.28,0.9,1,5.0
261,25.44,2.06,1,0.8
262,25.33,6.0,1,1.7
263,26.11,6.65,1,1.2
264,26.78,6.84,1,6.8
265,27.61,0.13,1,6.5
266,26.78,0.26,1,2.4
267,27.39,6.58,1,5.0
268,26.56,6.84,1,4.5
269,26.5,4.84,1,5.8
270,26.78,7.35,1,6.5
271,28.22,0.77,1,4.5
272,25.33,11.42,1,4.6
273,28.94,0.26,1,9.9
